"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4685442","Anthony Lucas","USC","Pac-12","defensive","PD","0"
"4431048","Jacobe Covington","USC","Pac-12","defensive","SACKS","0"
"4685351","Tre'Quon Fegans","USC","Pac-12","defensive","PD","0"
"4432784","Kyron Ware-Hudson","USC","Pac-12","receiving","YPR","11.5"
"4594277","Jaylin Smith","USC","Pac-12","defensive","QB HUR","1"
"4870612","Zachariah Branch","USC","Pac-12","puntReturns","AVG","20.6"
"4431517","Calen Bullock","USC","Pac-12","defensive","PD","5"
"4430571","Stanley Ta'ufo'ou","USC","Pac-12","defensive","TD","0"
"4870659","Tackett Curtis","USC","Pac-12","defensive","TFL","4"
"4428471","Bryson Shaw","USC","Pac-12","defensive","PD","0"
"4905248","Carson Tabaracci","USC","Pac-12","defensive","SACKS","0"
"-7768"," Team","USC","Pac-12","rushing","TD","0"
"4428921","Jude Wolfe","USC","Pac-12","receiving","YPR","2.5"
"4870612","Zachariah Branch","USC","Pac-12","fumbles","REC","0"
"4875308","Josiah Zamora","USC","Pac-12","receiving","YPR","5.5"
"4431611","Caleb Williams","USC","Pac-12","receiving","LONG","15"
"4870922","Duce Robinson","USC","Pac-12","receiving","TD","1"
"4685268","Raleek Brown","USC","Pac-12","rushing","YPC","5.3"
"4917949","Quinten Joyner","USC","Pac-12","receiving","YPR","7.0"
"4870922","Duce Robinson","USC","Pac-12","puntReturns","NO","1"
"4569515","Max Williams","USC","Pac-12","defensive","TOT","22"
"4921312","Christian Pierce","USC","Pac-12","defensive","TOT","6"
"4432660","Anthony Beavers Jr.","USC","Pac-12","defensive","QB HUR","0"
"4594277","Jaylin Smith","USC","Pac-12","defensive","SACKS","1"
"5153154","Tyler Robles","USC","Pac-12","kicking","XPM","1"
"4432244","Romello Height","USC","Pac-12","fumbles","REC","1"
"4431611","Caleb Williams","USC","Pac-12","rushing","LONG","46"
"4918111","A'Marion Peterson","USC","Pac-12","rushing","LONG","9"
"4870612","Zachariah Branch","USC","Pac-12","fumbles","LOST","1"
"4705853","Eddie Czaplicki","USC","Pac-12","punting","LONG","57"
"4875309","Denis Lynch","USC","Pac-12","kicking","LONG","53"
"4685268","Raleek Brown","USC","Pac-12","receiving","YPR","6.0"
"4428921","Jude Wolfe","USC","Pac-12","receiving","LONG","3"
"4870795","Makai Lemon","USC","Pac-12","kickReturns","AVG","18.8"
"4870659","Tackett Curtis","USC","Pac-12","defensive","TOT","37"
"4875309","Denis Lynch","USC","Pac-12","defensive","SACKS","0"
"4921312","Christian Pierce","USC","Pac-12","defensive","SACKS","0"
"4870612","Zachariah Branch","USC","Pac-12","defensive","TOT","2"
"4685268","Raleek Brown","USC","Pac-12","receiving","YDS","18"
"4569135","Kyon Barrs","USC","Pac-12","defensive","QB HUR","0"
"4567506","Tahj Washington","USC","Pac-12","defensive","SOLO","2"
"4870659","Tackett Curtis","USC","Pac-12","defensive","QB HUR","1"
"4685218","Tyrone Taleni","USC","Pac-12","defensive","TOT","10"
"4917949","Quinten Joyner","USC","Pac-12","fumbles","FUM","1"
"4431611","Caleb Williams","USC","Pac-12","rushing","YPC","1.2"
"4431247","Raesjon Davis","USC","Pac-12","defensive","TOT","17"
"4567506","Tahj Washington","USC","Pac-12","rushing","TD","0"
"4685351","Tre'Quon Fegans","USC","Pac-12","defensive","SACKS","0"
"4685218","Tyrone Taleni","USC","Pac-12","defensive","SOLO","5"
"4711055","Dorian Singer","USC","Pac-12","receiving","YPR","12.0"
"4566198","Lake McRee","USC","Pac-12","receiving","YPR","10.1"
"4426635","Darwin Barlow","USC","Pac-12","rushing","YPC","10.1"
"4430211","Jamil Muhammad","USC","Pac-12","fumbles","REC","1"
"4683061","Prophet Brown","USC","Pac-12","defensive","PD","1"
"4426695","De'jon Benton","USC","Pac-12","defensive","TD","0"
"4429023","MarShawn Lloyd","USC","Pac-12","receiving","YPR","17.8"
"4430285","Deuce Palmer","USC","Pac-12","defensive","SOLO","2"
"4426635","Darwin Barlow","USC","Pac-12","receiving","LONG","10"
"4431618","Mario Williams","USC","Pac-12","receiving","REC","29"
"4432244","Romello Height","USC","Pac-12","defensive","TD","0"
"4373474","Jarrett Kingston","USC","Pac-12","fumbles","LOST","0"
"4429023","MarShawn Lloyd","USC","Pac-12","rushing","LONG","56"
"4875308","Josiah Zamora","USC","Pac-12","receiving","TD","0"
"4431247","Raesjon Davis","USC","Pac-12","defensive","TD","0"
"-7768"," Team","USC","Pac-12","passing","YDS","0"
"4567115","Shane Lee","USC","Pac-12","defensive","SOLO","9"
"4905248","Carson Tabaracci","USC","Pac-12","defensive","TD","0"
"4431580","Miller Moss","USC","Pac-12","passing","TD","1"
"5153154","Tyler Robles","USC","Pac-12","kicking","FGA","0"
"4432244","Romello Height","USC","Pac-12","fumbles","LOST","0"
"4592573","Michael Jackson III","USC","Pac-12","receiving","TD","1"
"4685351","Tre'Quon Fegans","USC","Pac-12","defensive","TFL","0"
"4431517","Calen Bullock","USC","Pac-12","defensive","QB HUR","0"
"4685244","Bear Alexander","USC","Pac-12","defensive","TOT","41"
"4905248","Carson Tabaracci","USC","Pac-12","defensive","QB HUR","0"
"4372508","Jack Sullivan","USC","Pac-12","defensive","PD","0"
"4870612","Zachariah Branch","USC","Pac-12","fumbles","FUM","3"
"4917949","Quinten Joyner","USC","Pac-12","fumbles","LOST","1"
"4685282","Zion Branch","USC","Pac-12","defensive","QB HUR","0"
